at04,D01_inc1,25.45246934603075,0,93.7464599609375,23958.51076074829,0,407852.8125,25757.51933081217,0,407852.8125,21214.42791776002,0,245648.34375,1799.00856683525,-.001953125,29548.455078125,4543.091379493269,-1127.86962890625,162204.46875
at04,D02_inc1,947.3407403810149,94.14925384521484,4862.7373046875,29325.60066308834,120.0883331298828,167299.375,30685.44964706248,949.6597900390625,167299.375,24536.81205780478,888.5534057617188,112521.8125,1359.848971926596,-.0078125,25554.796875,6148.637565031775,-285.791748046875,54777.5703125
at04,D03_inc1,13055.48191465667,4913.1298828125,19221.5625,21508.47578851397,4923.658203125,156725.84375,25485.06313887445,5520.58154296875,156725.84375,18956.81779519031,2796.09033203125,107456.9609375,3976.587313472764,0,28094.048828125,6528.245361178328,854.7991943359375,49268.87890625
at04,D04_inc1,23100.94268580099,19231.666015625,26593.09375,27454.52209131447,19231.666015625,77245.6171875,31389.35472172179,19275.81640625,77245.6171875,21243.69086868759,44.19140625,62784.1015625,3934.83261978762,0,17292.71875,10145.6638512995,4483.6884765625,23317.23046875
at04,D05_inc1,29959.9687346407,26604.00390625,33241.8046875,33906.62518319923,26604.00390625,216519.25,37453.60622663262,26762.123046875,216519.25,24080.04574969191,9795.826171875,158920.09375,3546.981046905413,0,19564.478515625,13373.56046162988,5405.70849609375,57599.16796875
at04,D06_inc1,36761.69656747443,33246.09765625,40200.3828125,40151.17309956089,33246.09765625,90273.5625,43374.20248542168,33246.09765625,91985.15625,27258.97070155808,16004.412109375,65463.5625,3223.029342662363,0,17457.685546875,16115.23174420038,7722.87451171875,36909.90234375
at04,D07_inc1,44264.90636101955,40212.20703125,48452.76953125,47284.01087238145,40212.20703125,104143.90625,49765.93035707013,40218.73828125,112405.984375,29901.88960119273,13413.4765625,88620.3828125,2481.919597129743,-.001953125,42919.1953125,19864.04088699146,9097.587890625,33990.28125
at04,D08_inc1,53458.42937009063,48468.0859375,59217.25,55803.6242393656,48468.0859375,179883.21875,58001.23920333741,48611.375,183913.40625,34067.43805332326,18446.31640625,110902.34375,2197.614965826917,0,27191.841796875,23933.80112678696,10874.1826171875,73011.0625
at04,D09_inc1,66667.34650031783,59263.25,76047.421875,69296.56169528316,59263.25,205417.53125,70841.46201864231,59263.25,205417.53125,40154.67018972288,21683.96484375,131331.484375,1544.900286414519,0,23061.76171875,30686.79188799266,2712.765625,74086.046875
at04,D10_inc1,105757.5285336289,76094.1875,364975.71875,109012.6052717078,76094.1875,414441.90625,110527.8525850478,76244.5390625,414441.90625,62567.33872452714,29397.625,241645.578125,1515.247264913846,0,34653.58203125,47960.51382029599,17087.806640625,172796.328125
at04,D01_inc2,4743.987232965585,0,16022.65234375,8725.591916981919,0,16025.2109375,13791.57943801976,0,38634.4140625,11833.0907433017,0,33385.96875,5065.987536287565,0,29548.455078125,1958.488714415134,-1127.86962890625,8673.982421875
at04,D02_inc2,11656.16061255252,0,23076.119140625,19771.47627884511,16043.994140625,23076.119140625,22837.02222031964,16043.994140625,36760.48046875,17154.84224444464,44.19140625,33153.02734375,3065.54590964593,0,14874.623046875,5682.179976107689,255.4251403808594,20976.541015625
at04,D03_inc2,18387.07723345775,0,28425.96484375,25833.77892111242,23103.271484375,28425.96484375,29113.38608100412,23122.287109375,50203.6484375,20364.32667587769,11456.08984375,39449.49609375,3279.607159340004,0,24887.10546875,8749.059386931282,682.0394897460938,19230.794921875
at04,D04_inc2,21939.5031433968,0,33900.59765625,31247.66260982793,28451.783203125,33901.9609375,33835.71420645351,28465.73828125,49643.5546875,22998.78643769079,9795.826171875,42568.91015625,2588.051641510614,-.001953125,19251.599609375,10836.92776250334,2179.8857421875,21806.2421875
at04,D05_inc2,27887.2523421482,0,39364.640625,36748.05989237186,33905.421875,39382.0546875,39634.33855178547,33938.69140625,53270.82421875,26177.74935467512,16004.412109375,40121.32421875,2886.278621713887,-.001953125,17457.685546875,13456.58913435524,1881.722412109375,21324.75
at04,D06_inc2,33780.3711062519,0,45865.67578125,42687.09284086706,39385.7421875,45887.48828125,44916.41076972959,39385.7421875,85433.578125,28775.24744620958,13413.4765625,68455,2229.317910333038,-.00390625,42919.1953125,16141.16327248292,969.35302734375,30046.48828125
at04,D07_inc2,42822.09488081718,0,53802.22265625,49572.78252591169,45905.33203125,53802.22265625,51573.0561489196,45967.578125,69032.625,31539.99846477909,18446.31640625,55646.05078125,2000.273669756984,0,17292.71875,20033.05779358609,6441.5380859375,35247.17578125
at04,D08_inc2,49943.74418137858,0,63972.5859375,58574.80290638717,53825.875,63972.5859375,60213.34959325211,53841.84375,91159.625,36131.16482466672,21683.96484375,54416.34765625,1638.546609591015,0,27191.841796875,24082.18470710197,5348.98291015625,41586.74609375
at04,D09_inc2,62649.57011240282,0,80866.046875,71440.42045359974,63990.25,80866.046875,72890.41175709173,63990.25,97952.8203125,42951.24707463613,22825.22265625,71764.953125,1449.991255635053,-.0078125,18978.10546875,29939.16468584816,1520.322998046875,50628.7578125
at04,D10_inc2,100397.540428221,0,364975.71875,113352.8548372707,80953.0234375,414441.90625,114725.9558694774,80966.6015625,414441.90625,66193.80342328016,35634.41015625,245648.34375,1373.101065607851,0,34653.58203125,48532.15254338009,9609.69140625,172796.328125
at04,D01_inc3,3556.881894675586,0,18760.703125,9617.496505336399,0,19012,12950.65043508336,0,19012,11276.65086338516,0,18522.3984375,3333.153936879318,0,18659.62109375,1673.999580805694,-1127.86962890625,8673.982421875
